0	238	20	2 	 297500	1
0	727	20	2 	 297500	0.445739586157045
0	745	20	2 	 297500	0.108520827685911
0	747	20	2 	 297500	0.0843046896177836
0	763	20	2 	 297500	0.277130206921477
0	767	20	2 	 297500	0.0843046896177835
1	162	17	3 	 36302.5210084034	1
2	0	16	2 	 231741.935483871	0.078476551911086
2	99	16	2 	 231741.935483871	0.321089726213066
2	336	16	2 	 231741.935483871	0.258064516129032
2	368	16	2 	 231741.935483871	0.258064516129032
2	787	16	2 	 231741.935483871	0.0843046896177835
3	219	19	3 	 194511.278195489	1
3	1022	19	3 	 194511.278195489	1
3	1091	19	3 	 194511.278195489	1
4	34	17	2 	 223591.836734694	0.178910273786934
4	51	17	2 	 223591.836734694	0.821089726213066
5	287	17	3 	 443697.478991597	0.741935483870968
5	439	17	3 	 443697.478991597	0.258064516129032
5	509	17	3 	 443697.478991597	1
5	1041	17	3 	 443697.478991597	1
6	930	19	3 	 401036.414565826	1
7	33	18	3 	 441657.142857143	0.469955724225172
7	473	18	3 	 441657.142857143	1
7	688	18	3 	 441657.142857143	1
7	763	18	3 	 441657.142857143	0.168609379235567
7	764	18	3 	 441657.142857143	0.361434896539261
8	526	15	2 	 222333.333333333	1
9	629	20	3 	 557394.957983193	1
10	727	18	3 	 167166.666666667	0.554260413842955
10	745	18	3 	 167166.666666667	0.445739586157045
11	667	21	3 	 157054.87804878	1
12	599	30	3 	 350000	1
13	996	26	3 	 700000	1
14	198	3	3 	 60000	1
15	126	18	2 	 224000	0.5
15	144	18	2 	 224000	0.5
16	318	18	3 	 1037142.85714286	0.258064516129032
16	324	18	3 	 1037142.85714286	0.483870967741935
16	344	18	3 	 1037142.85714286	0.258064516129032
16	403	18	3 	 1037142.85714286	0.258064516129032
16	404	18	3 	 1037142.85714286	0.741935483870968
16	491	18	3 	 1037142.85714286	1
17	16	17	3 	 405882.352941176	0.17222372820096
17	34	17	3 	 405882.352941176	0.17222372820096
17	456	17	3 	 405882.352941176	1
17	747	17	3 	 405882.352941176	0.361434896539261
17	823	17	3 	 405882.352941176	1
18	0	16	3 	 1792946.42857143	0.0937471762898738
18	17	16	3 	 1792946.42857143	0.297731996024212
18	146	16	3 	 1792946.42857143	0.5
18	352	16	3 	 1792946.42857143	0.258064516129032
18	440	16	3 	 1792946.42857143	0.741935483870968
18	765	16	3 	 1792946.42857143	0.108520827685911
18	1075	16	3 	 1792946.42857143	1
19	201	18	2 	 225765.765765766	1
20	304	20	3 	 198571.428571429	0.741935483870968
20	324	20	3 	 198571.428571429	0.258064516129032
20	383	20	3 	 198571.428571429	0.258064516129032
20	384	20	3 	 198571.428571429	0.741935483870967
20	782	20	3 	 198571.428571429	0.361434896539261
20	783	20	3 	 198571.428571429	0.277130206921478
20	803	20	3 	 198571.428571429	0.361434896539261
21	0	17	3 	 345945.37815126	0.648865998012106
21	17	17	3 	 345945.37815126	0.351134001987894
22	0	21	3 	 171296.296296296	0.178910273786934
22	21	21	3 	 171296.296296296	0.178910273786934
22	42	21	3 	 171296.296296296	0.178910273786934
22	94	21	3 	 171296.296296296	0.0014909189482234
22	125	21	3 	 171296.296296296	0.177419354838711
22	363	21	3 	 171296.296296296	0.225806451612903
22	706	21	3 	 171296.296296296	1
22	781	21	3 	 171296.296296296	0.277130206921478
22	802	21	3 	 171296.296296296	0.638565103460739
23	949	16	3 	 321152.073732719	1
24	95	31	3 	 717788.01843318	0.5
24	115	31	3 	 717788.01843318	0.322580645161289
24	287	31	3 	 717788.01843318	0.258064516129032
24	568	31	3 	 717788.01843318	0.5
24	965	31	3 	 717788.01843318	1
25	68	27	3 	 606402.116402116	0.5
25	541	27	3 	 606402.116402116	0.5
26	649	18	3 	 539861.111111111	1
27	1058	17	2 	 245108.225108225	1
28	179	19	3 	 329736.842105263	1
29	421	18	2 	 210000	0.258064516129032
29	422	18	2 	 210000	0.741935483870968
30	342	21	3 	 320902.255639098	0.483870967741935
30	362	21	3 	 320902.255639098	0.258064516129032
30	363	21	3 	 320902.255639098	0.258064516129032
31	63	31	2 	 294746.543778802	0.178910273786934
31	68	31	2 	 294746.543778802	0.321089726213066
31	94	31	2 	 294746.543778802	0.177419354838711
31	899	31	2 	 294746.543778802	1
32	840	30	3 	 605084.745762712	1
33	258	29	3 	 1551525.42372881	1
33	541	29	3 	 1551525.42372881	0.5
33	570	29	3 	 1551525.42372881	0.5
33	870	29	3 	 1551525.42372881	1
RBS	6153344708.00572
This is the custom report: 
The DefaultModel model used the LP capability and Simplex(TimeLimit = -1, MaximumGoalCount = -1, Arithmetic = Default, Pricing = Default, IterationLimit = -1, Algorithm = Default, Basis = Default, GetSensitivity = False) solution directive and had an Optimal quality setting.
The Microsoft.SolverFoundation.Solvers.SimplexSolver solver finished in 5699420 ms with a total time of 5707554 ms.
